"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1183","TC_SALES_UI_USER_01 Verify User can view Sales page","","2026-02-07","passed","2026-02-07","","Sales Management User UI","",""
"","22","API_DASH_ADMIN_004 Admin can fetch plants list","","2026-02-07","passed","2026-02-07","","Dashboard API - Admin (Savindu R.H. - Group 28)","",""
"","105","Update category returns not found","","2026-02-07","passed","2026-02-07","","Category Admin API","",""
"","144","TC_CAT_UI_08 Verify Parent dropdown filter is available","","2026-02-07","passed","2026-02-07","","Category Management UI - Admin","",""
"","178","UI_DASH_USER_003 User can navigate to Plants from dashboard card","","2026-02-07","passed","2026-02-07","","Dashboard User UI","",""
"","1197","TC_SALES_UI_ADMIN_01 Verify Admin can view Sales page","","2026-02-07","passed","2026-02-07","","Sales Management Admin UI","",""
"","131","TC_CAT_UI_10 Verify sidebar navigation links are visible","","2026-02-07","passed","2026-02-07","","Category Management UI - Admin","",""
"","5155","TC_PLT_UI_ADMIN_05 Verify that the Admin is redirected to Plant List page when clicking Cancel button","","2026-02-07","passed","2026-02-07","","Plant List Admin UI","",""
"","5001","UI_DASH_ADMIN_008 Refresh keeps session","","2026-02-07","passed","2026-02-07","","Dashboard Admin UI","",""
"","108","API_DASH_ADMIN_002 Admin can fetch dashboard summary","","2026-02-07","passed","2026-02-07","","Dashboard API - Admin (Savindu R.H. - Group 28)","",""
"","1208","UI_DASH_ADMIN_004 Dashboard card - View Sales redirects correctly","","2026-02-07","passed","2026-02-07","","Dashboard Admin UI","",""
"","107","API_DASH_ADMIN_007 Invalid admin credentials rejected","","2026-02-07","passed","2026-02-07","","Dashboard API - Admin (Savindu R.H. - Group 28)","",""
"","169","UI_DASH_ADMIN_007 Logout redirects to login page","","2026-02-07","passed","2026-02-07","","Dashboard Admin UI","",""
